week,close_usd
2025-W01,29.83
2025-W02,29.77
2025-W03,29.06
2025-W04,28.72
2025-W05,28.86
2025-W06,29.2
2025-W07,28.75
2025-W08,27.9
2025-W09,27.17
2025-W10,27.88
2025-W11,27.74
2025-W12,28.55
2025-W13,29.44
2025-W14,30.34
2025-W15,31.05
2025-W16,31.48
2025-W17,32.14
2025-W18,31.25
2025-W19,30.46
2025-W20,30.5
2025-W21,29.9
2025-W22,30.54
2025-W23,30.79
2025-W24,31.52
2025-W25,31.99
2025-W26,31.42
2025-W27,31.66
2025-W28,32.12
2025-W29,32.35
2025-W30,32.31
2025-W31,32.08
2025-W32,32.53
2025-W33,31.83
2025-W34,31.47
2025-W35,32.45
2025-W36,32.48
2025-W37,32.29
2025-W38,32.58
2025-W39,33.38
2025-W40,33.04
2025-W41,32.83
2025-W42,32.96
2025-W43,33.75
2025-W44,34.04
2025-W45,33.75
2025-W46,33.73
2025-W47,34.24
2025-W48,34.24
2025-W49,33.34
2025-W50,33.35
2025-W51,33.2
2025-W52,33.21
