week,close_usd
2025-W01,16.66
2025-W02,17.1
2025-W03,17.55
2025-W04,17.99
2025-W05,17.18
2025-W06,17.62
2025-W07,18.07
2025-W08,17.25
2025-W09,17.69
2025-W10,18.14
2025-W11,18.58
2025-W12,17.77
2025-W13,18.21
2025-W14,18.66
2025-W15,17.84
2025-W16,18.28
2025-W17,18.73
2025-W18,19.17
2025-W19,18.36
2025-W20,18.8
2025-W21,19.25
2025-W22,18.43
2025-W23,18.87
2025-W24,19.32
2025-W25,19.76
2025-W26,18.95
2025-W27,19.39
2025-W28,19.84
2025-W29,19.02
2025-W30,19.47
2025-W31,19.91
2025-W32,20.35
2025-W33,19.54
2025-W34,19.98
2025-W35,20.43
2025-W36,19.61
2025-W37,20.06
2025-W38,20.5
2025-W39,20.94
2025-W40,20.13
2025-W41,20.57
2025-W42,21.02
2025-W43,20.2
2025-W44,20.65
2025-W45,21.09
2025-W46,21.53
2025-W47,20.72
2025-W48,21.16
2025-W49,21.61
2025-W50,20.79
2025-W51,21.24
2025-W52,21.68
