week,close_usd
W01,19.6
W02,20.02
W03,19.69
W04,19.37
W05,19.04
W06,18.71
W07,19.13
W08,18.8
W09,18.48
W10,18.15
W11,17.82
W12,18.24
W13,17.91
W14,17.59
W15,17.26
W16,16.93
W17,17.35
W18,17.02
W19,16.69
W20,16.37
W21,16.04
W22,16.46
W23,16.13
W24,16.11
W25,16.09
W26,16.08
W27,16.81
W28,16.79
W29,16.77
W30,16.75
W31,16.73
W32,17.46
W33,17.44
W34,17.42
W35,17.4
W36,17.39
W37,18.12
W38,18.1
W39,18.08
W40,18.06
W41,18.04
W42,18.77
W43,18.75
W44,18.73
W45,18.71
W46,18.54
W47,19.12
W48,18.94
W49,18.77
W50,18.6
W51,18.42
W52,19.0
